Symbol,Date,Close
DIS,5/28/2014 16:00:00,83.6
DIS,5/29/2014 16:00:00,84.03
DIS,5/30/2014 16:00:00,84.01
DIS,6/2/2014 16:00:00,84.27
DIS,6/3/2014 16:00:00,83.88
DIS,6/4/2014 16:00:00,84.24
DIS,6/5/2014 16:00:00,84.78
DIS,6/6/2014 16:00:00,84.61
DIS,6/9/2014 16:00:00,85.48
DIS,6/10/2014 16:00:00,84.75
DIS,6/11/2014 16:00:00,84.31
DIS,6/12/2014 16:00:00,82.8
DIS,6/13/2014 16:00:00,82.8
DIS,6/16/2014 16:00:00,83.3
DIS,6/17/2014 16:00:00,83.16
DIS,6/18/2014 16:00:00,83.58
DIS,6/19/2014 16:00:00,83.77
DIS,6/20/2014 16:00:00,82.82
DIS,6/23/2014 16:00:00,82.76
DIS,6/24/2014 16:00:00,82.68
DIS,6/25/2014 16:00:00,83.9
DIS,6/26/2014 16:00:00,84.45
DIS,6/27/2014 16:00:00,85.3
DIS,6/30/2014 16:00:00,85.74
DIS,7/1/2014 16:00:00,86.47
DIS,7/2/2014 16:00:00,86.44
DIS,7/3/2014 16:00:00,86.84
DIS,7/7/2014 16:00:00,86.59
DIS,7/8/2014 16:00:00,85.86
DIS,7/9/2014 16:00:00,87.22
DIS,7/10/2014 16:00:00,86.86
DIS,7/11/2014 16:00:00,86.89
DIS,7/14/2014 16:00:00,86.76
DIS,7/15/2014 16:00:00,86.15
DIS,7/16/2014 16:00:00,85.35
DIS,7/17/2014 16:00:00,85.03
DIS,7/18/2014 16:00:00,85.81
DIS,7/21/2014 16:00:00,85.74
DIS,7/22/2014 16:00:00,86.21
DIS,7/23/2014 16:00:00,86.04
DIS,7/24/2014 16:00:00,86.8
DIS,7/25/2014 16:00:00,86.23
DIS,7/28/2014 16:00:00,87.15
DIS,7/29/2014 16:00:00,86.2
DIS,7/30/2014 16:00:00,87.21
DIS,7/31/2014 16:00:00,85.88
DIS,8/1/2014 16:00:00,85.38
DIS,8/4/2014 16:00:00,87.24
DIS,8/5/2014 16:00:00,86.75
DIS,8/6/2014 16:00:00,86.59
DIS,8/7/2014 16:00:00,85.51
DIS,8/8/2014 16:00:00,86.85
DIS,8/11/2014 16:00:00,87.5
DIS,8/12/2014 16:00:00,87.21
DIS,8/13/2014 16:00:00,87.6
DIS,8/14/2014 16:00:00,88.61
DIS,8/15/2014 16:00:00,89.28
DIS,8/18/2014 16:00:00,89.97
DIS,8/19/2014 16:00:00,90.09
DIS,8/20/2014 16:00:00,89.84
DIS,8/21/2014 16:00:00,90.38
DIS,8/22/2014 16:00:00,90.49
DIS,8/25/2014 16:00:00,90.38
DIS,8/26/2014 16:00:00,90.02
DIS,8/27/2014 16:00:00,90.37
DIS,8/28/2014 16:00:00,90.23
DIS,8/29/2014 16:00:00,89.88
DIS,9/2/2014 16:00:00,90.8
DIS,9/3/2014 16:00:00,90.94
DIS,9/4/2014 16:00:00,90.14
DIS,9/5/2014 16:00:00,90.94
DIS,9/8/2014 16:00:00,90.56
DIS,9/9/2014 16:00:00,89.6
DIS,9/10/2014 16:00:00,89.52
DIS,9/11/2014 16:00:00,89.97
DIS,9/12/2014 16:00:00,89.67
DIS,9/15/2014 16:00:00,90.08
