Symbol,Date,Close
DIS,5/28/2014 16:00:00,310.16
DIS,5/29/2014 16:00:00,313.78
DIS,5/30/2014 16:00:00,312.55
DIS,6/2/2014 16:00:00,308.84
DIS,6/3/2014 16:00:00,307.19
DIS,6/4/2014 16:00:00,306.78
DIS,6/5/2014 16:00:00,323.57
DIS,6/6/2014 16:00:00,329.67
DIS,6/9/2014 16:00:00,327.5
DIS,6/10/2014 16:00:00,332.41
DIS,6/11/2014 16:00:00,335.2
DIS,6/12/2014 16:00:00,325.91
DIS,6/13/2014 16:00:00,326.27
DIS,6/16/2014 16:00:00,327.62
DIS,6/17/2014 16:00:00,325.62
DIS,6/18/2014 16:00:00,334.38
DIS,6/19/2014 16:00:00,327
DIS,6/20/2014 16:00:00,324.2
DIS,6/23/2014 16:00:00,327.24
DIS,6/24/2014 16:00:00,324.16
DIS,6/25/2014 16:00:00,327.44
DIS,6/26/2014 16:00:00,325.69
DIS,6/27/2014 16:00:00,324.57
DIS,6/30/2014 16:00:00,324.78
DIS,7/1/2014 16:00:00,332.39
DIS,7/2/2014 16:00:00,332.85
DIS,7/3/2014 16:00:00,337.49
DIS,7/7/2014 16:00:00,333.55
DIS,7/8/2014 16:00:00,323.81
DIS,7/9/2014 16:00:00,329.97
DIS,7/10/2014 16:00:00,327.92
DIS,7/11/2014 16:00:00,346.2
DIS,7/14/2014 16:00:00,355.32
DIS,7/15/2014 16:00:00,354.44
DIS,7/16/2014 16:00:00,355.9
DIS,7/17/2014 16:00:00,352.45
DIS,7/18/2014 16:00:00,358.66
DIS,7/21/2014 16:00:00,359.76
DIS,7/22/2014 16:00:00,360.84
DIS,7/23/2014 16:00:00,358.14
DIS,7/24/2014 16:00:00,358.61
DIS,7/25/2014 16:00:00,324.01
DIS,7/28/2014 16:00:00,320.41
DIS,7/29/2014 16:00:00,320
DIS,7/30/2014 16:00:00,322.51
DIS,7/31/2014 16:00:00,312.99
DIS,8/1/2014 16:00:00,307.06
DIS,8/4/2014 16:00:00,313.65
DIS,8/5/2014 16:00:00,312.32
DIS,8/6/2014 16:00:00,313.89
DIS,8/7/2014 16:00:00,311.45
DIS,8/8/2014 16:00:00,316.8
DIS,8/11/2014 16:00:00,318.33
DIS,8/12/2014 16:00:00,319.32
